title,price,area_sqft,price_per_sqft,location,bedrooms,bathrooms,property_type,undervalued,avg_price_per_sqft_location,url
"Unique mix-use property with garage$3,500,000New York",3500000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-unique-mix-use-property-with/7911234733.html
"387 Ashford Street$899,999Brooklyn. NY",899999,,,Brooklyn. Ny,,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-387-ashford-street/7911236455.html
"319 E 59th Street$655,000Brooklyn, NY",655000,,,"Brooklyn, Ny",,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-319-59th-street/7911235191.html
"Manhattan hotel off market$40,000,000New York",40000000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-manhattan-hotel-off-market/7910192294.html
"30-UNIT PRE-WAR MULTIFAMILY BUILDING$5,500,000Bronx",5500000,,,Bronx,,,Multi-Family,False,,https://newyork.craigslist.org/brx/reo/d/new-york-30-unit-pre-war-multifamily/7910147928.html
"Semi detached 6 Fam in Queens$1,950,000New York",1950000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/que/reo/d/new-york-semi-detached-fam-in-queens/7909081666.html
"Dream Wakefield 3 Bedroom$725,000Bronx",725000,,,Bronx,3.0,,Other,False,,https://newyork.craigslist.org/brx/reo/d/new-york-dream-wakefield-bedroom/7909083069.html
"For Sale: Off Market 67 Unit Mixed Use in 2 Contiguous Buildings$9,600,000Bronx",9600000,,,Bronx,,,Other,False,,https://newyork.craigslist.org/brx/reo/d/new-york-for-sale-off-market-67-unit/7907347037.html
"4 floor Parkside Brownstone$2,900,000New York",2900000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-floor-parkside-brownstone/7907347231.html
"Mixed Use development site for sale/Seller will hold paper$25,000,000New York",25000000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-mixed-use-development-site-for/7907347144.html
"11-UNIT PRE-WAR MULTIFAMILY$2,200,000New York",2200000,,,New York,,,Multi-Family,False,195.45,https://newyork.craigslist.org/brx/reo/d/new-york-11-unit-pre-war-multifamily/7906475193.html
"66 Key hotel in LIC$25,000,000New York",25000000,,,New York,,,Other,False,195.45,https://newyork.craigslist.org/que/reo/d/new-york-66-key-hotel-in-lic/7907998712.html
"Grand TH for sale** investor dream$2,600,000Harlem / Morningside",2600000,,,Harlem / Morningside,,,Other,False,,https://newyork.craigslist.org/mnh/reo/d/new-york-city-grand-th-for-sale/7905120335.html
"Stunning UES Prof Office$349,000New York",349000,,,New York,,,Commercial,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-stunning-ues-prof-office/7909688322.html
"E Village Storefront Duplex Condo$999,000New York",999000,,,New York,,,Commercial,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-village-storefront-duplex-condo/7908530724.html
"6 Story Elevator Brick apt Bldg, 32 apts$16,000,000bronx",16000000,,,Bronx,,,Other,False,,https://newyork.craigslist.org/brx/reo/d/new-york-story-elevator-brick-apt-bldg/7910741222.html
"Bronx Investment Property$4,700,000Bronx",4700000,,,Bronx,,,Other,False,,https://newyork.craigslist.org/brx/reo/d/new-york-bronx-investment-property/7910741265.html
"Amazing 48+ acres Minutes from Lake George$109,000Hague",109000,,,Hague,,,Land,False,,https://newyork.craigslist.org/que/reo/d/hague-amazing-48-acres-minutes-from/7910519905.html
"29 Garfield Place$1,699,999Roslyn Heights",1699999,,,Roslyn Heights,,,Other,False,,https://newyork.craigslist.org/lgi/reb/d/roslyn-heights-29-garfield-place/7911229894.html
"2BR 1,5 BATH, PARKING,SOLAR ,REDONE! BEST DEAL.BEST PRICE!$495,000Brooklyn   ( S.I)",495000,,,Brooklyn   ( S.I,2.0,5.0,Other,False,,https://newyork.craigslist.org/brk/reb/d/staten-island-2br-15-bath-parkingsolar/7910756887.html
"2 bedroom townhouse for sale! solar payoff! parking!$495,000Staten Island",495000,,,Staten Island,2.0,,Land,False,,https://newyork.craigslist.org/brk/reb/d/staten-island-bedroom-townhouse-for/7909330880.html
"2 BR 1,5 BATH! TOWNHOUSE! 2 PARKING!SOLAR! REDONE!$495,000Staten Island/next to MALL,HIGHWAY.COLLEGE",495000,,,"Staten Island/Next To Mall,Highway.College",2.0,5.0,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-br-15-bath-townhouse/7905967297.html
"178-26 Zoller Road$775,000Jamaica, NY",775000,,,"Jamaica, Ny",,,Other,False,,https://newyork.craigslist.org/que/reb/d/jamaica-zoller-road/7911228611.html
"5042 Kings Highway$749,999Brooklyn, NY",749999,,,"Brooklyn, Ny",,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-5042-kings-highway/7911227268.html
